PolarDiagramPointcloud,
TWS,TWA,BSP,
6,52,3.74
6,60,3.98
6,75,4.16
6,90,4.35
6,110,4.39
6,120,4.23
6,135,3.72
6,150,3.21
8,52,4.48
8,60,4.73
8,75,4.93
8,90,5.19
8,110,5.22
8,120,5.11
8,135,4.64
8,150,4.1
10,52,4.96
10,60,5.18
10,75,5.35
10,90,5.64
10,110,5.68
10,120,5.58
10,135,5.33
10,150,4.87
12,52,5.27
12,60,5.44
12,75,5.66
12,90,6.09
12,110,6.19
12,120,6.06
12,135,5.74
12,150,5.4
14,52,5.47
14,60,5.67
14,75,5.95
14,90,6.49
14,110,6.79
14,120,6.62
14,135,6.22
14,150,5.78
16,52,5.66
16,60,5.94
16,75,6.27
16,90,6.7
16,110,7.48
16,120,7.32
16,135,6.77
16,150,6.22
20,52,5.81
20,60,6.17
20,75,6.86
20,90,7.35
20,110,8.76
20,120,9.74
20,135,8.34
20,150,7.32
